datetime,inflow_acft
3/1/02,8855.19079
3/2/02,10999.8333
3/3/02,9723.6446
3/4/02,13553.1284
3/5/02,7000.80421
3/6/02,7102.32319
3/7/02,16593.39
3/8/02,14013.6076
3/9/02,7409.26807
3/10/02,5561.59609
3/11/02,7275.12938
3/12/02,6885.65597
3/13/02,11274.6224
3/14/02,11300.4729
3/15/02,7325.87249
3/16/02,14252.3109
3/17/02,10001.3672
3/18/02,10598.425
3/19/02,11195.6492
3/20/02,16450.5581
3/21/02,12627.9706
3/22/02,7286.72936
3/23/02,11999.9393
3/24/02,9674.02394
3/25/02,9492.25578
3/26/02,24028.5084
3/27/02,10005.187
3/28/02,13738.5318
3/29/02,8460.57437
3/30/02,14836.9854
3/31/02,9592.67471
4/1/02,10950.7048
4/2/02,13464.0025
4/3/02,13430.8161
4/4/02,17404.8031
4/5/02,9584.64477
4/6/02,19495.3151
4/7/02,14150.8326
4/8/02,10894.1946
4/9/02,12345.3362
4/10/02,26838.102
4/11/02,6169.28515
4/12/02,19027.8269
4/13/02,7913.33542
4/14/02,11541.5558
4/15/02,7113.66485
4/16/02,12367.2885
4/17/02,24298.0309
4/18/02,9850.55106
4/19/02,4696.74891
4/20/02,21324.4871
4/21/02,14264.7703
4/22/02,11504.8057
4/23/02,12531.7962
4/24/02,16437.7924
4/25/02,9895.43218
4/26/02,19062.6926
4/27/02,4112.38904
4/28/02,11505.9706
4/29/02,8490.06721
4/30/02,12500.0932
5/1/02,14644.8377
5/2/02,7370.12274
5/3/02,14757.2962
5/4/02,13051.4698
5/5/02,11918.7508
5/6/02,10444.214
5/7/02,14002.2887
5/8/02,10016.707
5/9/02,16533.7776
5/10/02,15346.2438
5/11/02,11279.8518
5/12/02,17068.2974
5/13/02,11292.8878
5/14/02,9933.3482
5/15/02,12647.6534
5/16/02,22024.6086
5/17/02,5884.70715
5/18/02,13304.379
5/19/02,15668.1152
5/20/02,5400.58651
5/21/02,9942.63609
5/22/02,13860.2648
5/23/02,16073.2199
5/24/02,16877.4052
5/25/02,14314.7199
5/26/02,14356.5548
5/27/02,22182.4446
5/28/02,23433.3347
5/29/02,24799.1085
5/30/02,18312.1899
5/31/02,18285.3522
6/1/02,18767.086
6/2/02,20004.6777
6/3/02,13400.797
6/4/02,17354.4161
6/5/02,27337.0237
6/6/02,22147.7925
6/7/02,15733.0077
6/8/02,20550.4819
6/9/02,10834.2476
6/10/02,9148.03234
6/11/02,15622.6038
6/12/02,14311.6533
6/13/02,15623.985
6/14/02,7943.35205
6/15/02,12806.7811
6/16/02,9659.82081
6/17/02,13083.8679
6/18/02,10438.1737
6/19/02,10299.9974
6/20/02,2646.73614
6/21/02,8052.29882
6/22/02,3922.23533
6/23/02,10848.9687
6/24/02,5398.80525
6/25/02,1694.77551
6/26/02,5642.96933
6/27/02,3028.66928
6/28/02,4317.25449
6/29/02,7985.65449
6/30/02,6045.91034
7/1/02,2436.16177
7/2/02,9011.17468
7/3/02,1210.27593
7/4/02,11736.388
7/5/02,1978.0352
7/6/02,1637.15402
7/7/02,6696.47717
7/8/02,4345.79026
7/9/02,5537.0837
7/10/02,550.34192
7/11/02,4598.61603
7/12/02,5526.01396
